Site,Code,Dataset,Country,State,County,AQSCode,Latitude,Longitude,Elevation,StartDate,EndDate,DemographicCode,LandUseCode,StreetAddress,LocDesc,Sponsor,ProgramKey,NumPOCs
"M.K. Goddard","MKGO1","IMPAER","US","PA","42085","420859000",41.42690,-80.14530,379,"04/04/2001","12/31/2010","-999","Unknown","-999","-999","EPA","IMPROVE",1
"Makah Tribe","MAKA1","IMPAER","US","WA","-999","-999",48.37185,-124.59500,-999,"09/02/2006","10/29/2010","-999","-999","-999","-999","-999","IMPROVE",1
"Makah Tribe Site #2","MAKA2","IMPAER","US","WA","-999","-999",48.29782,-124.62488,480,"11/01/2010","10/30/2023","-999","-999","-999","-999","-999","IMPROVE",1
"Mammoth Cave NP","MACA1","IMPAER","US","KY","21061","210619000",37.13180,-86.14790,235,"09/04/1991","10/30/2023","-999","Unknown","-999","Houchin Meadow ozone site off Alfred Cook Road","NPS","IMPROVE",2
"Martha's Vineyard","MAVI1","IMPAER","US","MA","25007","250070001",41.33090,-70.78460,2,"12/01/2002","10/30/2023","-999","Unknown","-999","-999","TRIBE","IMPROVE",1
"Mauna Loa Observatory #1","MALO1","IMPAER","US","HI","15001","150019000",19.53620,-155.57670,3439,"03/03/1988","01/01/2011","-999","Unknown","-999","NOAA Global Monitoring Site","-999","IMPROVE",1
"Mauna Loa Observatory #2","MALO2","IMPAER","US","HI","15001","150019001",19.53620,-155.57670,3439,"03/03/1988","01/01/2011","-999","Unknown","-999","NOAA Global Monitoring Site","-999","IMPROVE",1
"Mauna Loa Observatory #3","MALO3","IMPAER","US","HI","15001","150019003",19.53890,-155.57800,3400,"03/06/1996","02/26/2000","-999","Unknown","-999","NOAA Global Monitoring Site","-999","IMPROVE",1
"Mauna Loa Observatory #4","MALO4","IMPAER","US","HI","15001","150019004",19.53890,-155.57800,3400,"03/02/1996","02/26/2000","-999","Unknown","-999","NOAA Global Monitoring Site","-999","IMPROVE",1
"Meadview","MEAD1","IMPAER","US","AZ","04015","040159000",36.01930,-114.06840,902,"09/04/1991","03/29/2021","-999","Unknown","-999","MOHAVE: DRI Trailer","STATE","IMPROVE",1
"Medicine Lake","MELA1","IMPAER","US","MT","30091","300919000",48.48710,-104.47570,606,"12/15/1999","10/30/2023","-999","Unknown","-999","-999","FWS","IMPROVE",2
"Mesa Verde NP","MEVE1","IMPAER","US","CO","08083","080839000",37.19840,-108.49070,2172,"03/02/1988","10/30/2023","-999","Unknown","-999","Resource  Management Research Area, Chapin Mesa","NPS","IMPROVE",2
"Mingo","MING1","IMPAER","US","MO","29207","292070001",36.97170,-90.14320,111,"06/03/2000","10/30/2023","-999","Unknown","-999","-999","FWS","IMPROVE",1
"Mohawk Mt.","MOMO1","IMPAER","US","CT","09005","090050005",41.82140,-73.29730,521,"09/13/2001","10/30/2023","-999","Unknown","-999","Observation Tower, 10 mi W of Torrington, CT, Mohawk Mountain","STATE","IMPROVE",1
"Monture","MONT1","IMPAER","US","MT","30077","300779000",47.12220,-113.15440,1282,"03/29/2000","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",1
"Moosehorn NWR","MOOS1","IMPAER","US","ME","23029","230291004",45.12590,-67.26610,77,"12/03/1994","10/30/2023","-999","Unknown","-999","McConvey Rd, about 1 mi NE of NWR Baring Unit HQ","FWS","IMPROVE",1
"Mount Baldy","BALD1","IMPAER","US","AZ","04001","040018001",34.05840,-109.44060,2508,"03/01/2000","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",1
"Mount Hood","MOHO1","IMPAER","US","OR","41005","410050010",45.28880,-121.78370,1531,"03/15/2000","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",1
"Mount Rainier NP","MORA1","IMPAER","US","WA","53053","530530014",46.75830,-122.12440,439,"03/02/1988","10/30/2023","-999","Unknown","-999","Park HQ, Tahoma Woods, Ashford, WA","NPS","IMPROVE",1
"Mount Zirkel Wilderness","MOZI1","IMPAER","US","CO","08057","080579000",40.53830,-106.67660,3243,"06/01/1994","10/30/2023","-999","Unknown","-999","Buffalo Pass, NE of Steamboat Springs, CO, DRI Storm Peak/ Mount Werner Facility","USFS","IMPROVE",1
"Nebraska NF","NEBR1","IMPAER","US","NE","31171","311719000",41.88880,-100.33870,883,"06/01/2002","10/30/2023","-999","-999","-999","-999","STATE","IMPROVE",1
"Nogales","NOGA1","IMPAER","US","AZ","04023","-999",31.33745,-110.93715,1172,"10/27/2015","10/30/2023","-999","-999","-999","-999","-999","IMPROVE",1
"North Absaroka","NOAB1","IMPAER","US","WY","56029","560299002",44.74480,-109.38160,2482,"01/26/2000","10/30/2023","-999","Unknown","-999","Dead Indian Summit, NW of Cody, WY","USFS","IMPROVE",1
"North Birmingham","BIRM1","IMPAER","US","AL","01073","010730023",33.55310,-86.81480,175,"03/01/2004","10/30/2023","-999","-999","-999","-999","STM","IMPROVE",1
"North Cascades","NOCA1","IMPAER","US","WA","53073","530730022",48.73160,-121.06460,568,"07/30/1997","10/30/2023","-999","Unknown","-999","Ross Dam","NPS","IMPROVE",1
"Northern Cheyenne","NOCH1","IMPAER","US","MT","30087","300870762",45.64950,-106.55740,1283,"06/01/2002","10/30/2023","-999","Unknown","-999","-999","TRIBE","IMPROVE",1
"Okefenokee NWR","OKEF1","IMPAER","US","GA","13049","130499000",30.74050,-82.12830,48,"09/04/1991","10/30/2023","-999","Unknown","-999","Headquarters, 3-4 mi W of GA Rt. 121","FWS","IMPROVE",1
"Old Town","OLTO1","IMPAER","US","ME","23019","230194003",44.93340,-68.64570,51,"06/27/2001","05/29/2006","-999","Unknown","-999","-999","TRIBE","IMPROVE",1
"Olympic","OLYM1","IMPAER","US","WA","53009","530090020",48.00650,-122.97270,599,"07/12/2001","10/30/2023","-999","Unknown","-999","-999","NPS","IMPROVE",2
"Omaha","OMAH1","IMPAER","US","NE","31173","311739000",42.14870,-96.43180,429,"06/02/2003","08/04/2008","-999","-999","-999","-999","TRIBE","IMPROVE",1
"Organ Pipe","ORPI1","IMPAER","US","AZ","04019","040190005",31.95060,-112.80160,504,"12/01/2002","10/30/2023","-999","Unknown","-999","-999","STATE","IMPROVE",1
"Owens Valley","OWVL1","IMPAER","US","CA","06027","-999",37.36070,-118.33080,1234,"06/27/2013","10/30/2023","-999","-999","-999","-999","-999","IMPROVE",1
"Pack Monadnock Summit","PACK1","IMPAER","US","NH","33011","-999",42.86190,-71.87860,695,"10/03/2007","10/30/2023","-999","-999","-999","-999","-999","IMPROVE",1
"Pasayten","PASA1","IMPAER","US","WA","53047","530470012",48.38770,-119.92750,1627,"11/02/2000","10/30/2023","-999","Unknown","-999","Loup-loup ski area, Hwy 20 E of Twisp, WA","USFS","IMPROVE",1
"Penobscot","PENO1","IMPAER","US","ME","23019","-999",44.94798,-68.64786,45,"01/11/2006","10/30/2023","-999","-999","-999","-999","-999","IMPROVE",1
"Petersburg","PETE1","IMPAER","US","AK","02280","022809000",56.61076,-132.81234,0,"07/02/2004","09/28/2009","-999","-999","-999","-999","USFS","IMPROVE",1
"Petrified Forest NP","PEFO1","IMPAER","US","AZ","04017","040170119",35.07770,-109.76920,1766,"03/02/1988","10/30/2023","-999","Unknown","-999","1 mile N of Park Headquarters","NPS","IMPROVE",1
"Phoenix","PHOE1","IMPAER","US","AZ","04013","040139997",33.50380,-112.09580,342,"04/19/2001","10/30/2023","-999","Unknown","-999","-999","EPA","IMPROVE",1
"Phoenix Colocated Sampler","PHOE5","IMPAER","US","AZ","04013","-999",33.50380,-112.09580,342,"01/01/2005","10/30/2023","Unknown","Unknown","-999","-999","EPA","IMPROVE",2
"Pinnacles NM","PINN1","IMPAER","US","CA","06069","060690003",36.48330,-121.15680,302,"03/02/1988","10/30/2023","-999","Unknown","-999","1/2 mile SW of Pinnacles, E entrance","NPS","IMPROVE",1
"Point Reyes National Seashore","PORE1","IMPAER","US","CA","06041","060410002",38.12240,-122.90850,97,"03/02/1988","10/30/2023","-999","Unknown","-999","North District Ranger Station","NPS","IMPROVE",1
"Presque Isle","PRIS1","IMPAER","US","ME","23003","230031020",46.69640,-68.03330,165,"03/08/2001","10/30/2023","-999","Unknown","-999","-999","TRIBE","IMPROVE",1
"Proctor Maple R. F.","PMRF1","IMPAER","US","VT","50007","500070007",44.52840,-72.86880,401,"12/01/1993","10/30/2023","-999","Unknown","-999","5 Miles N. of Underhill, VT, 2 mi NE of Underhill Center, VT","STATE","IMPROVE",2
"Puget Sound","PUSO1","IMPAER","US","WA","53033","530330080",47.56960,-122.31190,97,"03/02/1996","10/30/2023","-999","Unknown","-999","Next to reservoir East of I-5 on Union Hill, downtown Seattle, WA","EPA","IMPROVE",1
"Quabbin Summit","QURE1","IMPAER","US","MA","25015","250154002",42.29850,-72.33460,317,"04/04/2001","12/29/2015","-999","Unknown","-999","Windsor Dam on Loop Road, 5 mi W of Ware, MA, Quabbin Summit","STATE","IMPROVE",2
"Quaker City","QUCI1","IMPAER","US","OH","39121","391219000",39.94280,-81.33780,366,"04/04/2001","10/30/2023","-999","Unknown","-999","-999","EPA","IMPROVE",1
"Queen Valley","QUVA1","IMPAER","US","AZ","04021","040218001",33.29390,-111.28580,661,"04/19/2001","12/29/2015","-999","Unknown","-999","-999","STATE","IMPROVE",1
"Redwood NP","REDW1","IMPAER","US","CA","06015","060150002",41.56080,-124.08390,243,"03/02/1988","10/30/2023","-999","Unknown","-999","Old USAF radar facility 1/2 mile E of beach and 1/2 mile N of Klamath River, near Requa, CA","NPS","IMPROVE",1
"Ripple Creek","RICR1","IMPAER","US","CO","08103","-999",40.08650,-107.31410,2934,"03/02/2009","10/30/2011","-999","-999","-999","-999","-999","IMPROVE",1
"Rocky Mountain NP","ROMO1","IMPAER","US","CO","08069","080699001",40.27830,-105.54570,2760,"09/01/1990","10/30/2023","-999","Unknown","-999","3 mi S of Lily Lake VC, Ozone monitoring shelter 15 miles from ROMO1","-999","IMPROVE",1
"Rocky Mountain NP HQ","RMHQ1","IMPAER","US","CO","08069","080699000",40.36240,-105.56380,2408,"03/02/1988","12/29/1999","-999","Unknown","-999","Park Headquarters at bone yard","-999","IMPROVE",1
"Rubidoux","RUBI1","IMPAER","US","CA","06065","060658001",33.99960,-117.41610,247,"09/03/2004","08/29/2005","-999","-999","-999","-999","-999","IMPROVE",1
"Sac and Fox","SAFO1","IMPAER","US","KS","20013","200139000",39.97910,-95.56820,293,"06/01/2002","06/29/2011","-999","-999","-999","-999","TRIBE","IMPROVE",2
"Saguaro NM","SAGU1","IMPAER","US","AZ","04019","040190021",32.17460,-110.73710,941,"06/01/1988","10/30/2023","-999","Unknown","-999","1/2 mile south of Headquarters","NPS","IMPROVE",1
"Saguaro West","SAWE1","IMPAER","US","AZ","04019","040199000",32.24860,-111.21780,714,"10/31/2001","10/30/2023","-999","Unknown","-999","old TUMO site:  maintenance yard off Kinney Rd., ~1 mi SE of jxn with Mile Wide Rd.","STATE","IMPROVE",2
"Salmon NF","SALM1","IMPAER","US","ID","16059","160590007",45.15880,-114.02600,2788,"12/01/1993","11/05/2000","-999","Unknown","-999","Mountain Top Communications Facility, 6 miles SW of Salmon, ID","-999","IMPROVE",1
"Salt Creek","SACR1","IMPAER","US","NM","35005","350059000",33.45980,-104.40420,1072,"04/08/2000","10/30/2023","-999","Unknown","-999","-999","FWS","IMPROVE",1
"San Andres","SAAN1","IMPAER","US","NM","35013","350139000",32.68690,-106.48440,1326,"07/30/1997","02/26/2000","-999","Unknown","-999","-999","-999","IMPROVE",1
"San Gabriel","SAGA1","IMPAER","US","CA","06037","060379034",34.29690,-118.02820,1791,"12/03/2001","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",2
"San Gorgonio Wilderness","SAGO1","IMPAER","US","CA","06071","060719010",34.19390,-116.91320,1726,"03/02/1988","10/30/2023","-999","Unknown","-999","Converse Fire Station, Seven Oaks, CA, S. of Big Bear Lake","USFS","IMPROVE",1
"San Pedro Parks","SAPE1","IMPAER","US","NM","35039","350399000",36.01390,-106.84470,2935,"08/16/2000","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",1
"San Rafael","RAFA1","IMPAER","US","CA","06083","060839000",34.73390,-120.00740,956,"02/02/2000","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",1
"Sawtooth NF","SAWT1","IMPAER","US","ID","16037","160370002",44.17050,-114.92710,1990,"12/01/1993","10/30/2023","-999","Unknown","-999","USFS Stanley Station Warehouse, Stanley, ID","USFS","IMPROVE",1
"Scoville","SCOV1","IMPAER","US","ID","16023","160230003",43.65000,-113.03330,1500,"03/04/1992","02/26/2000","-999","Unknown","-999","At the Idaho National Engineering Lab facility, Atomic City, ID","-999","IMPROVE",1
"Seney","SENE1","IMPAER","US","MI","26153","261539000",46.28890,-85.95030,214,"11/17/1999","10/30/2023","-999","Unknown","-999","-999","FWS","IMPROVE",2
"Sequoia NP","SEQU1","IMPAER","US","CA","06107","061071001",36.48940,-118.82910,519,"03/04/1992","10/30/2023","-999","Unknown","-999","Residence area, park HQ, Ash Mountain water tank","NPS","IMPROVE",1
"Shamrock Mine","SHMI1","IMPAER","US","CO","08067","080679000",37.30380,-107.48420,2351,"08/01/2004","10/30/2023","-999","-999","-999","-999","-999","IMPROVE",1
"Shenandoah NP","SHEN1","IMPAER","US","VA","51113","511139000",38.52290,-78.43480,1079,"03/02/1988","10/30/2023","-999","Unknown","-999","Big Meadows 1/2 mile N of Visitor Center","NPS","IMPROVE",1
"Shining Rock Wilderness","SHRO1","IMPAER","US","NC","37087","370870035",35.39370,-82.77440,1617,"06/01/1994","10/30/2023","-999","Unknown","-999","Frying Pan Mountain, Skyline Drive, NC","USFS","IMPROVE",1
"Sierra Ancha","SIAN1","IMPAER","US","AZ","04007","040078100",34.09080,-110.94210,1600,"02/09/2000","12/03/2017","-999","Unknown","-999","-999","USFS","IMPROVE",1
"Sikes","SIKE1","IMPAER","US","LA","22127","221279000",32.05740,-92.43500,45,"03/02/2001","12/31/2010","-999","Unknown","-999","-999","EPA","IMPROVE",1
"Simeonof","SIME1","IMPAER","US","AK","02013","020130002",55.32550,-160.50630,57,"09/13/2001","10/30/2023","-999","Unknown","-999","-999","FWS","IMPROVE",1
"Sipsey Wilderness","SIPS1","IMPAER","US","AL","01079","010799000",34.34330,-87.33880,286,"03/04/1992","10/30/2023","-999","Unknown","-999","Black Warrior work center, 4 mi. N of Grayson, AL, Moulton work area, Alabama National Forest","USFS","IMPROVE",1
"Snoqualmie Pass","SNPA1","IMPAER","US","WA","53037","530370004",47.42200,-121.42590,1049,"06/02/1993","10/30/2023","-999","Unknown","-999","DOT Radio Facility, Snoqualmie Ski Area, WA , 150 yards from Big Bull Lift","USFS","IMPROVE",1
"South Dekalb","ATLA1","IMPAER","US","GA","13089","130890002",33.68800,-84.29030,243,"03/01/2004","10/30/2023","-999","-999","-999","-999","STN","IMPROVE",1
"South Lake Tahoe","SOLA1","IMPAER","US","CA","06017","060170008",38.93330,-119.96670,1900,"03/01/1989","12/29/1999","-999","Unknown","-999","Lakeshore ~2 mi. W of Stateline, South Lake Tahoe, CA","-999","IMPROVE",1
"Southern Great Plains","SOGP1","IMPAER","US","OK","40053","400539000",36.61000,-97.49000,314,"10/03/2019","10/30/2023","Rural","Agricultural","-999","-999","DOE","IMPROVE",1
"Spokane Res.","SPOK1","IMPAER","US","WA","53063","530630051",47.90450,-117.86090,552,"07/12/2001","06/30/2005","-999","Unknown","-999","-999","TRIBE","IMPROVE",1
"St. Marks","SAMA1","IMPAER","US","FL","12129","121290001",30.09260,-84.16140,7,"08/16/2000","10/30/2023","-999","Unknown","-999","-999","FWS","IMPROVE",2
"Starkey","STAR1","IMPAER","US","OR","41061","410610010",45.22490,-118.51290,1259,"03/15/2000","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",1
"Stilwell","STIL1","IMPAER","US","OK","40071","400719010",35.75078,-94.66956,300,"04/23/2010","10/30/2023","-999","Unknown","-999","-999","-999","IMPROVE",1
"Storm Peak","STPE1","IMPAER","US","CO","08107","081079000",40.44500,-106.74000,3220,"12/01/1993","12/29/1999","-999","Unknown","-999","DRI Storm Peak, NE of Steamboat Springs, CO","-999","IMPROVE",1
"Sula Peak","SULA1","IMPAER","US","MT","30081","300819000",45.85980,-114.00010,1895,"06/01/1994","10/30/2023","-999","Unknown","-999","Sula Peak Fire Lookout, Sula, MT","USFS","IMPROVE",1
"Swanquarter","SWAN1","IMPAER","US","NC","37095","370959000",35.45100,-76.20750,-3,"06/10/2000","10/30/2023","-999","Unknown","-999","-999","FWS","IMPROVE",2
"Sycamore Canyon","SYCA1","IMPAER","US","AZ","04005","040058103",35.14060,-111.96920,2046,"09/04/1991","10/30/2015","-999","Unknown","-999","~10 mi S of Parks, AZ, 75 yards south of residence","USFS","IMPROVE",1
"Sycamore Canyon","SYCA2","IMPAER","US","AZ","04005","-999",35.16390,-111.98230,2046,"10/24/2015","10/30/2023","-999","-999","-999","-999","-999","IMPROVE",1
"Tallgrass","TALL1","IMPAER","US","KS","20017","200170001",38.43410,-96.56020,390,"09/02/2002","10/30/2023","-999","Unknown","-999","-999","STATE","IMPROVE",1
"Theodore Roosevelt","THRO1","IMPAER","US","ND","38007","380070002",46.89480,-103.37770,852,"12/15/1999","10/30/2023","-999","Unknown","-999","-999","NPS","IMPROVE",1
"Three Sisters Wilderness","THSI1","IMPAER","US","OR","41039","410390070",44.29100,-122.04340,885,"06/02/1993","10/30/2023","-999","Unknown","-999","Carmen Smith Project EWEB facility radio transmitter bldg,  3/4 mile N. of Trail Bridge Campground, OR, Rt.126","USFS","IMPROVE",1
"Thunder Basin","THBA1","IMPAER","US","WY","56005","560050123",44.66340,-105.28740,1195,"06/01/2002","12/29/2019","-999","Unknown","-999","-999","STATE","IMPROVE",1
"Tonto NM","TONT1","IMPAER","US","AZ","04007","040070010",33.65480,-111.10680,775,"03/02/1988","10/30/2023","-999","Unknown","-999","Next to maintenance building","NPS","IMPROVE",1
"Toolik Lake Field Station","TOOL1","IMPAER","US","AK","02185","021859000",68.63178,-149.60601,740,"11/01/2018","10/30/2023","-999","Unknown","-999","University of Alaska Fairbanks Field Station","BLM","IMPROVE",1
"Trapper Creek","TRCR1","IMPAER","US","AK","02170","021700011",62.31530,-150.31560,155,"09/13/2001","10/30/2023","-999","Unknown","-999","-999","NPS","IMPROVE",2
"Trinity","TRIN1","IMPAER","US","CA","06105","061059000",40.78640,-122.80460,1014,"10/18/2000","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",1
"Tuxedni","TUXE1","IMPAER","US","AK","02122","021220009",59.99250,-152.66560,15,"12/03/2001","01/12/2015","-999","Unknown","-999","-999","FWS","IMPROVE",1
"UL Bend","ULBE1","IMPAER","US","MT","30027","300279000",47.58227,-108.71964,891,"01/26/2000","10/30/2023","-999","Unknown","-999","-999","FWS","IMPROVE",1
"Upper Buffalo Wilderness","UPBU1","IMPAER","US","AR","05101","051019000",35.82580,-93.20300,722,"12/04/1991","10/30/2023","-999","Unknown","-999","1 mile north of USFS workstation, Deer, AL, at Cooper Residence","USFS","IMPROVE",1
"Viking Lake","VILA1","IMPAER","US","IA","19137","191370002",40.96900,-95.04500,371,"05/08/2002","07/02/2023","-999","-999","-999","-999","STATE","IMPROVE",1
"Virgin Islands NP","VIIS1","IMPAER","US","VI","78020","780209000",18.33630,-64.79620,51,"09/01/1990","10/30/2023","-999","Unknown","-999","Biosphere Reserve Complex, Lind Point, St. John, VI","NPS","IMPROVE",1
"Voyageurs NP #1","VOYA1","IMPAER","US","MN","27137","271379001",48.41320,-92.83030,425,"03/02/1988","12/29/1999","-999","Unknown","-999","1 mile NW of Visitor Center, End of road 129,","NPS","IMPROVE",1
"Voyageurs NP #2","VOYA2","IMPAER","US","MN","27137","271379000",48.41260,-92.82860,429,"03/02/1988","10/30/2023","-999","Unknown","-999","-999","-999","IMPROVE",1
"Walker River Paiute Tribe","WARI1","IMPAER","US","NV","32021","320219000",38.95190,-118.81460,1250,"06/02/2003","10/31/2005","-999","-999","-999","-999","TRIBE","IMPROVE",1
"Washington D.C.","WASH1","IMPAER","US","DC","11001","110010042",38.87620,-77.03440,15,"03/02/1988","06/08/2015","-999","Unknown","-999","Natl. Capitol Region Park Police HQ, on roof","NPS","IMPROVE",1
"Weminuche Wilderness","WEMI1","IMPAER","US","CO","08111","081119000",37.65940,-107.79988,2750,"03/02/1988","10/30/2023","-999","Unknown","-999","USFS fire station 30 miles N of Durango 1 mile N of Purgatory Ski Area","USFS","IMPROVE",1
"Wheeler Peak","WHPE1","IMPAER","US","NM","35055","350559000",36.58540,-105.45200,3366,"08/16/2000","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",1
"White Mountain","WHIT1","IMPAER","US","NM","35027","350279000",33.46870,-105.53490,2063,"12/03/2001","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",1
"White Pass","WHPA1","IMPAER","US","WA","53041","530410007",46.62430,-121.38810,1827,"02/16/2000","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",1
"White River NF","WHRI1","IMPAER","US","CO","08097","080979000",39.15360,-106.82090,3413,"06/02/1993","10/30/2023","-999","Unknown","-999","USFS Communication Facility, at Tourtellotte Park, Aspen Mt. Ski Area, Aspen, CO","USFS","IMPROVE",1
"Wichita Mountains","WIMO1","IMPAER","US","OK","40031","400319000",34.73230,-98.71300,509,"03/02/2001","10/30/2023","-999","Unknown","-999","-999","FWS","IMPROVE",1
"Wind Cave","WICA1","IMPAER","US","SD","46033","460330132",43.55760,-103.48380,1296,"12/15/1999","10/30/2023","-999","Unknown","-999","-999","NPS","IMPROVE",2
"Wrightwood","WRIG1","IMPAER","US","CA","06071","-999",34.37892,-117.69211,2106,"10/01/2009","10/15/2012","-999","Unknown","-999","-999","-999","IMPROVE",1
"Yellowstone NP","YELL1","IMPAER","US","WY","56039","560399001",44.56540,-110.40030,2442,"03/09/1988","12/29/1999","-999","Unknown","-999","SW of Fishing Bridge, Yellowstone Lake above maintenance yard and seasonal employee housing/campground. , Lake Ranger Office","NPS","IMPROVE",1
"Yellowstone NP","YELL2","IMPAER","US","WY","56039","560399000",44.56530,-110.40020,2425,"03/02/1988","10/30/2023","-999","Unknown","-999","-999","-999","IMPROVE",1
"Yosemite NP","YOSE1","IMPAER","US","CA","06043","060430003",37.71330,-119.70610,1603,"03/02/1988","10/30/2023","-999","Unknown","-999","Turtleback Dome, 1 mi W of Tunnel View","NPS","IMPROVE",2
"Yosemite NP","YOSEX","IMPAER","US","CA","06043","-999",37.71330,-119.70610,1603,"11/02/2012","07/29/2015","-999","Unknown","-999","Turtleback Dome, 1 mi W of Tunnel View","NPS","IMPROVE",1
"Zion","ZION1","IMPAER","US","UT","49053","490539000",37.45910,-113.22430,1545,"03/25/2000","08/22/2004","-999","Unknown","-999","-999","NPS","IMPROVE",1
"Zion Canyon","ZICA1","IMPAER","US","UT","49053","490530130",37.19830,-113.15080,1215,"12/01/2002","10/30/2023","-999","-999","-999","-999","-999","IMPROVE",1
